age,primary_fur_color,activity,counts
Adult,Black,running,25
Adult,Black,chasing,5
Adult,Black,climbing,23
Adult,Black,eating,21
Adult,Black,foraging,40
Adult,Cinnamon,running,86
Adult,Cinnamon,chasing,25
Adult,Cinnamon,climbing,65
Adult,Cinnamon,eating,88
Adult,Cinnamon,foraging,182
Adult,Gray,running,513
Adult,Gray,chasing,195
Adult,Gray,climbing,456
Adult,Gray,eating,524
Adult,Gray,foraging,1046
Juvenile,Black,running,0
Juvenile,Black,chasing,1
Juvenile,Black,climbing,2
Juvenile,Black,eating,2
Juvenile,Black,foraging,2
Juvenile,Cinnamon,running,16
Juvenile,Cinnamon,chasing,5
Juvenile,Cinnamon,climbing,16
Juvenile,Cinnamon,eating,21
Juvenile,Cinnamon,foraging,16
Juvenile,Gray,running,64
Juvenile,Gray,chasing,30
Juvenile,Gray,climbing,65
Juvenile,Gray,eating,69
Juvenile,Gray,foraging,99
